Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Base Happiness,Game(s) of Origin,Experience Growth,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
398,270,Lotad,Water Weed Pokemon,NA,NA,None,Water,Grass,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",NA,NA,70,Ruby,Medium Slow,44,Water 1,Grass,15,NA,NA
399,271,Lombre,Jolly Pokemon,NA,NA,None,Water,Grass,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",NA,NA,70,Ruby,Medium Slow,119,Water 1,Grass,15,398,Level 14
400,272,Ludicolo,Carefree Pokemon,NA,NA,None,Water,Grass,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain.,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",NA,NA,70,Ruby,Medium Slow,216,Water 1,Grass,15,399,Water Stone
401,273,Seedot,Acorn Pokemon,NA,NA,None,Grass,None,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,NA,NA,70,Ruby,Medium Slow,44,Field,Grass,15,NA,NA
402,274,Nuzleaf,Wily Pokemon,NA,NA,None,Grass,Dark,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,NA,NA,70,Ruby,Medium Slow,119,Field,Grass,15,401,Level 14
403,275,Shiftry,Wicked Pokemon,NA,NA,None,Grass,Dark,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,NA,NA,70,Ruby,Medium Slow,216,Fairy,Grass,15,402,Leaf Stone
404,276,Taillow,Tiny Swallow Pokemon,NA,NA,None,Normal,Flying,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NA,NA,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,NA,NA,70,Ruby,Medium Slow,54,Flying,NA,15,NA,NA
405,277,Swellow,Swallow Pokemon,NA,NA,None,Normal,Flying,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NA,NA,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,NA,NA,70,Ruby,Medium Slow,159,Flying,NA,15,404,Level 22
406,278,Wingull,Seagull Pokemon,NA,NA,None,Water,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Hydration,Heals status conditions if it's raining.,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Ruby,Medium Fast,54,Water 1,Flying,20,NA,NA
407,279,Pelipper,Water Bird Pokemon,NA,NA,None,Water,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Drizzle,The Pokémon makes it rain when it enters a battle.,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Ruby,Medium Fast,154,Water 1,Flying,20,406,Level 25
408,280,Ralts,Feeling Pokemon,NA,NA,None,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,NA,NA,35,Ruby,Slow,40,Human-Like,Amorphous,20,NA,NA
409,281,Kirlia,Emotion Pokemon,NA,NA,None,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,NA,NA,35,Ruby,Slow,97,Human-Like,Amorphous,20,408,Level 20
410,282,Gardevoir,Embrace Pokemon,NA,NA,None,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,NA,NA,35,Ruby,Slow,233,Human-Like,Amorphous,20,409,Level 30
411,283,Surskit,Pond Skater Pokemon,NA,NA,None,Bug,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,NA,NA,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Ruby,Medium Fast,54,Water 1,Bug,15,NA,NA
412,284,Masquerain,Eyeball Pokemon,NA,NA,None,Bug,Flying,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",NA,NA,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NA,NA,70,Ruby,Medium Fast,159,Water 1,Bug,15,411,Level 22
413,285,Shroomish,Mushroom Pokemon,NA,NA,None,Grass,None,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,NA,NA,70,Ruby,Fluctuating,59,Fairy,Grass,15,NA,NA
414,286,Breloom,Mushroom Pokemon,NA,NA,None,Grass,Fighting,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,Technician,Powers up the Pokémon's weaker moves.,NA,NA,70,Ruby,Fluctuating,161,Fairy,Grass,15,413,Level 23
415,287,Slakoth,Slacker Pokemon,NA,NA,None,Normal,None,Truant,The Pokémon can't use a move if it had used a move on the previous turn.,NA,NA,NA,NA,NA,NA,70,Ruby,Slow,56,Field,NA,15,NA,NA
416,288,Vigoroth,Wild Monkey Pokemon,NA,NA,None,Normal,None,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",NA,NA,NA,NA,NA,NA,70,Ruby,Slow,154,Field,NA,15,415,Level 18
417,289,Slaking,Lazy Pokemon,NA,NA,None,Normal,None,Truant,The Pokémon can't use a move if it had used a move on the previous turn.,NA,NA,NA,NA,NA,NA,70,Ruby,Slow,252,Field,NA,15,416,Level 36
418,290,Nincada,Trainee Pokemon,NA,NA,None,Bug,Ground,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NA,NA,Run Away,Enables a sure getaway from wild Pokémon.,NA,NA,70,Ruby,Erratic,53,Bug,NA,15,NA,NA
419,291,Ninjask,Ninja Pokemon,NA,NA,None,Bug,Flying,Speed Boost,Its Speed stat is boosted every turn.,NA,NA,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NA,NA,70,Ruby,Erratic,160,Bug,NA,15,418,Level 20
420,292,Shedinja,Shed Pokemon,NA,NA,None,Bug,Ghost,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,NA,NA,NA,NA,NA,NA,70,Ruby,Erratic,83,Mineral,NA,15,418,Have A Pokeball And Empty Space In Party
421,293,Whismur,Whisper Pokemon,NA,NA,None,Normal,None,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,NA,NA,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",NA,NA,70,Ruby,Medium Slow,48,Monster,Field,20,NA,NA
422,294,Loudred,Big Voice Pokemon,NA,NA,None,Normal,None,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,NA,NA,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,NA,NA,70,Ruby,Medium Slow,126,Monster,Field,20,421,Level 20
423,295,Exploud,Loud Noise Pokemon,NA,NA,None,Normal,None,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,NA,NA,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,NA,NA,70,Ruby,Medium Slow,221,Monster,Field,20,422,Level 40
424,296,Makuhita,Guts Pokemon,NA,NA,None,Fighting,None,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Ruby,Fluctuating,47,Human-Like,NA,20,NA,NA
425,297,Hariyama,Arm Thrust Pokemon,NA,NA,None,Fighting,None,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Ruby,Fluctuating,166,Human-Like,NA,20,424,Level 24
426,298,Azurill,Polka Dot Pokemon,NA,NA,None,Normal,Fairy,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,NA,NA,70,Ruby,Fast,38,Undiscovered,NA,10,NA,NA
427,299,Nosepass,Compass Pokemon,NA,NA,None,Rock,None,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NA,NA,70,Ruby,Medium Fast,75,Mineral,NA,20,NA,NA
428,300,Skitty,Kitten Pokemon,NA,NA,None,Normal,None,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,Wonder Skin,Makes status moves more likely to miss.,NA,NA,70,Ruby,Fast,52,Field,Fairy,15,NA,NA
429,301,Delcatty,Prim Pokemon,NA,NA,None,Normal,None,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,Wonder Skin,Makes status moves more likely to miss.,NA,NA,70,Ruby,Fast,140,Field,Fairy,15,428,Moon Stone
430,302,Sableye,Darkness Pokemon,NA,NA,None,Dark,Ghost,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Stall,The Pokémon moves after all other Pokémon do.,Prankster,Gives priority to a status move.,NA,NA,35,Ruby,Medium Slow,133,Human-Like,NA,25,NA,NA
431,303,Mawile,Deceiver Pokemon,NA,NA,None,Steel,Fairy,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Ruby,Fast,133,Field,Fairy,20,NA,NA
432,304,Aron,Iron Armor Pokemon,NA,NA,None,Steel,Rock,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,NA,NA,35,Ruby,Slow,66,Monster,NA,35,NA,NA
433,305,Lairon,Iron Armor Pokemon,NA,NA,None,Steel,Rock,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,NA,NA,35,Ruby,Slow,151,Monster,NA,35,432,Level 32
434,306,Aggron,Iron Armor Pokemon,NA,NA,None,Steel,Rock,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,NA,NA,35,Ruby,Slow,239,Monster,NA,35,433,Level 42
435,307,Meditite,Meditate Pokemon,NA,NA,None,Fighting,Psychic,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",NA,NA,Telepathy,Anticipates an ally's attack and dodges it.,NA,NA,70,Ruby,Medium Fast,56,Human-Like,NA,20,NA,NA
436,308,Medicham,Meditate Pokemon,NA,NA,None,Fighting,Psychic,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",NA,NA,Telepathy,Anticipates an ally's attack and dodges it.,NA,NA,70,Ruby,Medium Fast,144,Human-Like,NA,20,435,Level 37
437,309,Electrike,Lightning Pokemon,NA,NA,None,Electric,None,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NA,NA,70,Ruby,Slow,59,Field,NA,20,NA,NA
438,310,Manectric,Discharge Pokemon,NA,NA,None,Electric,None,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NA,NA,70,Ruby,Slow,166,Field,NA,20,437,Level 26
439,311,Plusle,Cheering Pokemon,NA,NA,None,Electric,None,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NA,NA,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NA,NA,70,Ruby,Medium Fast,142,Fairy,NA,20,NA,NA
440,312,Minun,Cheering Pokemon,NA,NA,None,Electric,None,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NA,NA,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,NA,NA,70,Ruby,Medium Fast,142,Fairy,NA,20,NA,NA
441,313,Volbeat,Firefly Pokemon,NA,NA,None,Bug,None,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Prankster,Gives priority to a status move.,NA,NA,70,Ruby,Erratic,151,Bug,Human-Like,15,NA,NA
442,314,Illumise,Firefly Pokemon,NA,NA,None,Bug,None,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Prankster,Gives priority to a status move.,NA,NA,70,Ruby,Fluctuating,151,Bug,Human-Like,15,NA,NA
443,315,Roselia,Thorn Pokemon,NA,NA,None,Grass,Poison,Natural Cure,All status conditions heal when the Pokémon switches out.,Poison Point,Contact with the Pokémon may poison the attacker.,Leaf Guard,Prevents status conditions in harsh sunlight.,NA,NA,70,Ruby,Medium Slow,140,Fairy,Grass,20,604,During The Day
444,316,Gulpin,Stomach Pokemon,NA,NA,None,Poison,None,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move.",Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NA,NA,70,Ruby,Fluctuating,60,Amorphous,NA,20,NA,NA
445,317,Swalot,Poison Bag Pokemon,NA,NA,None,Poison,None,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move.",Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NA,NA,70,Ruby,Fluctuating,163,Amorphous,NA,20,444,Level 26
446,318,Carvanha,Savage Pokemon,NA,NA,None,Water,Dark,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,NA,NA,Speed Boost,Its Speed stat is boosted every turn.,NA,NA,35,Ruby,Slow,61,Water 2,NA,20,NA,NA
447,319,Sharpedo,Brutal Pokemon,NA,NA,None,Water,Dark,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,NA,NA,Speed Boost,Its Speed stat is boosted every turn.,NA,NA,35,Ruby,Slow,161,Water 2,NA,20,446,Level 30
448,320,Wailmer,Ball Whale Pokemon,NA,NA,None,Water,None,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NA,NA,70,Ruby,Fluctuating,80,Field,Water 2,40,NA,NA
449,321,Wailord,Float Whale Pokemon,NA,NA,None,Water,None,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NA,NA,70,Ruby,Fluctuating,175,Field,Water 2,40,448,Level 40
450,322,Numel,Numb Pokemon,NA,NA,None,Fire,Ground,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Simple,The stat changes the Pokémon receives are doubled.,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",NA,NA,70,Ruby,Medium Fast,61,Field,NA,20,NA,NA
451,323,Camerupt,Eruption Pokemon,NA,NA,None,Fire,Ground,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",Solid Rock,Reduces the power of supereffective attacks taken.,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",NA,NA,70,Ruby,Medium Fast,161,Field,NA,20,450,Level 33
452,324,Torkoal,Coal Pokemon,NA,NA,None,Fire,None,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",Drought,Turns the sunlight harsh when the Pokémon enters a battle.,Shell Armor,A hard shell protects the Pokémon from critical hits.,NA,NA,70,Ruby,Medium Fast,165,Field,NA,20,NA,NA
453,325,Spoink,Bounce Pokemon,NA,NA,None,Psychic,None,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NA,NA,70,Ruby,Fast,66,Field,NA,20,NA,NA
454,326,Grumpig,Manipulate Pokemon,NA,NA,None,Psychic,None,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NA,NA,70,Ruby,Fast,165,Field,NA,20,453,Level 32
455,327,Spinda,Spot Panda Pokemon,NA,NA,None,Normal,None,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Tangled Feet,Raises evasiveness if the Pokémon is confused.,Contrary,Makes stat changes have an opposite effect.,NA,NA,70,Ruby,Fast,126,Field,Human-Like,15,NA,NA
456,328,Trapinch,Ant Pit Pokemon,NA,NA,None,Ground,None,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Ruby,Medium Slow,58,Bug,Dragon,20,NA,NA
457,329,Vibrava,Vibration Pokemon,NA,NA,None,Ground,Dragon,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Medium Slow,119,Bug,Dragon,20,456,Level 35
458,330,Flygon,Mystic Pokemon,NA,NA,None,Ground,Dragon,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Medium Slow,234,Bug,Dragon,20,457,Level 45
459,331,Cacnea,Cactus Pokemon,NA,NA,None,Grass,None,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NA,NA,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,NA,NA,35,Ruby,Medium Slow,67,Grass,Human-Like,20,NA,NA
460,332,Cacturne,Scarecrow Pokemon,NA,NA,None,Grass,Dark,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NA,NA,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,NA,NA,35,Ruby,Medium Slow,166,Grass,Human-Like,20,459,Level 32
461,333,Swablu,Cotton Bird Pokemon,NA,NA,None,Normal,Flying,Natural Cure,All status conditions heal when the Pokémon switches out.,NA,NA,Cloud Nine,Eliminates the effects of weather.,NA,NA,70,Ruby,Erratic,62,Flying,Dragon,20,NA,NA
462,334,Altaria,Humming Pokemon,NA,NA,None,Dragon,Flying,Natural Cure,All status conditions heal when the Pokémon switches out.,NA,NA,Cloud Nine,Eliminates the effects of weather.,NA,NA,70,Ruby,Erratic,172,Flying,Dragon,20,461,Level 35
463,335,Zangoose,Cat Ferret Pokemon,NA,NA,None,Normal,None,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,NA,NA,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.,NA,NA,70,Ruby,Erratic,160,Field,NA,20,NA,NA
464,336,Seviper,Fang Snake Pokemon,NA,NA,None,Poison,None,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NA,NA,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NA,NA,70,Ruby,Fluctuating,160,Field,Dragon,20,NA,NA
465,337,Lunatone,Meteorite Pokemon,NA,NA,None,Rock,Psychic,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Fast,161,Mineral,NA,25,NA,NA
466,338,Solrock,Meteorite Pokemon,NA,NA,None,Rock,Psychic,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Fast,161,Mineral,NA,25,NA,NA
467,339,Barboach,Whiskers Pokemon,NA,NA,None,Water,Ground,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,Hydration,Heals status conditions if it's raining.,NA,NA,70,Ruby,Medium Fast,58,Water 2,NA,20,NA,NA
468,340,Whiscash,Whiskers Pokemon,NA,NA,None,Water,Ground,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,Hydration,Heals status conditions if it's raining.,NA,NA,70,Ruby,Medium Fast,164,Water 2,NA,20,467,Level 30
469,341,Corphish,Ruffian Pokemon,NA,NA,None,Water,None,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Adaptability,Powers up moves of the same type as the Pokémon.,NA,NA,70,Ruby,Fluctuating,62,Water 1,Water 3,15,NA,NA
470,342,Crawdaunt,Rogue Pokemon,NA,NA,None,Water,Dark,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Adaptability,Powers up moves of the same type as the Pokémon.,NA,NA,70,Ruby,Fluctuating,164,Water 1,Water 3,15,469,Level 30
471,343,Baltoy,Clay Doll Pokemon,NA,NA,None,Ground,Psychic,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Medium Fast,60,Mineral,NA,20,NA,NA
472,344,Claydol,Clay Doll Pokemon,NA,NA,None,Ground,Psychic,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,NA,NA,NA,NA,70,Ruby,Medium Fast,175,Mineral,NA,20,471,Level 36
473,345,Lileep,Sea Lily Pokemon,NA,NA,None,Rock,Grass,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,NA,NA,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",NA,NA,70,Ruby,Erratic,71,Water 3,NA,30,NA,NA
474,346,Cradily,Barnacle Pokemon,NA,NA,None,Rock,Grass,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,NA,NA,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",NA,NA,70,Ruby,Erratic,173,Water 3,NA,30,473,Level 40
475,347,Anorith,Old Shrimp Pokemon,NA,NA,None,Rock,Bug,Battle Armor,Hard armor protects the Pokémon from critical hits.,NA,NA,Swift Swim,Boosts the Pokémon's Speed stat in rain.,NA,NA,70,Ruby,Erratic,71,Water 3,NA,30,NA,NA
476,348,Armaldo,Plate Pokemon,NA,NA,None,Rock,Bug,Battle Armor,Hard armor protects the Pokémon from critical hits.,NA,NA,Swift Swim,Boosts the Pokémon's Speed stat in rain.,NA,NA,70,Ruby,Erratic,173,Water 3,NA,30,475,Level 40
477,349,Feebas,Fish Pokemon,NA,NA,None,Water,None,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Adaptability,Powers up moves of the same type as the Pokémon.,NA,NA,70,Ruby,Erratic,40,Water 1,Dragon,20,NA,NA
478,350,Milotic,Tender Pokemon,NA,NA,None,Water,None,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Cute Charm,Contact with the Pokémon may cause infatuation.,NA,NA,70,Ruby,Erratic,189,Water 1,Dragon,20,477,Prism Scale
479,351,Castform,Weather Pokemon,NA,NA,None,Normal,None,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.",NA,NA,NA,NA,NA,NA,70,Ruby,Medium Fast,147,Fairy,Amorphous,25,NA,NA
480,352,Kecleon,Color Swap Pokemon,NA,NA,None,Normal,None,Color Change,The Pokémon's type becomes the type of the move used on it.,NA,NA,Protean,Changes the Pokémon's type to the type of the move it's about to use.,NA,NA,70,Ruby,Medium Slow,154,Field,NA,20,NA,NA
481,353,Shuppet,Puppet Pokemon,NA,NA,None,Ghost,None,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Cursed Body,May disable a move used on the Pokémon.,NA,NA,35,Ruby,Fast,59,Amorphous,NA,25,NA,NA
482,354,Banette,Marionette Pokemon,NA,NA,None,Ghost,None,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Cursed Body,May disable a move used on the Pokémon.,NA,NA,35,Ruby,Fast,159,Amorphous,NA,25,481,Level 37
483,355,Duskull,Requiem Pokemon,NA,NA,None,Ghost,None,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NA,NA,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NA,NA,35,Ruby,Fast,59,Amorphous,NA,25,NA,NA
484,356,Dusclops,Beckon Pokemon,NA,NA,None,Ghost,None,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NA,NA,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NA,NA,35,Ruby,Fast,159,Amorphous,NA,25,483,Level 37
